customfield_10707                    Employee Name
customfield_12620                   Net Revenue(Actual-Q2)
customfield_12717                   Net Revenue(Actual-Q3)
customfield_12718                   Net Revenue(Actual-Q4)
customfield_12619                   Net Revenue(Plan-Q2)
customfield_12720                   Net Revenue(Plan-Q3)
customfield_12721                   Net Revenue(Plan-Q4)
customfield_12719                   Net Revenue(Plan)
customfield_13061                   New Invoice Amount in Customer Currency
customfield_10595                   Next Action Items
customfield_14643                   No of CCC2 Milestone days
customfield_14644                   No of CCC3 Milestone days
customfield_14649                   No of CCC4 Milestone Days
customfield_14650                   No of CCC5 Milestone Days
customfield_10345                   No. of Follow-Ups
customfield_10921                   Nominee Details
customfield_12325                   Non Accruable Amount ($)
customfield_12459                   Non Accrued Hours
customfield_10250                   Note
customfield_10943                   Number
customfield_10508                   Number of Milestones
customfield_12223                   Number of Users
customfield_13184                   Objective Identification Approved By
customfield_13180                   Objective Identification Start Date
customfield_13183                   Objective IdentificationActual End Date
customfield_13182                   Objective IdentificationActual Start Date
customfield_13181                   Objective IdentificationEnd Date
customfield_13830                   Objective level
customfield_12754                   Objective Summary
customfield_12520                   Objective Type
customfield_13971                   Observation End Date
customfield_11092                   OEM
customfield_11054                   OEM
customfield_12222                   OEM  Support Plans
customfield_11798                   OEM Actual Payment Amount
customfield_12001                   OEM Actual Payment Amount in USD
customfield_11795                   OEM Actual Payment Amount1
customfield_11793                   OEM Actual Payment Amount2
customfield_11794                   OEM Actual Payment Amount3
customfield_11801                   OEM Actual Payment Date
customfield_11425                   OEM Actual Payment Date1
customfield_11796                   OEM Actual Payment Date2
customfield_11797                   OEM Actual Payment Date3
customfield_11802                   OEM Actual Payment Exchange Rate 1
customfield_11803                   OEM Actual Payment Exchange Rate 2
customfield_11804                   OEM Actual Payment Exchange Rate 3
customfield_13608                   OEM Contribution
customfield_14722                   OEM Conversion Rate
customfield_16307                   OEM Credit Note
customfield_11404                   OEM Due Date
customfield_11433                   OEM Due Date Cycle Month
customfield_11434                   OEM Due Date Cycle No
customfield_13839                   OEM fund type
customfield_12582                   OEM Funding Amount ($)
customfield_12581                   OEM Funding ticket Number
customfield_14799                   OEM Funding Type
customfield_11138                   OEM Parent
customfield_11442                   OEM payment Terms
customfield_11302                   OEM Program
customfield_11364                   OEM Purchase Amount ($)
customfield_11418                   OEM Quote Amount ($)
customfield_11443                   OEM Statement Date
customfield_11439                   OEM Statement No.
customfield_16306                   OEM Tax Invoice
customfield_10408                   OEM's Expected Cost(USD)
customfield_10469                   Offer
customfield_10470                   Offer Acceptance
customfield_10471                   Offer Decision
customfield_10655                   Offering Code
customfield_13714                   Offering Code 1
customfield_13715                   Offering Code 2
customfield_13716                   Offering Code 3
customfield_13710                   Offering Code 4
customfield_13711                   Offering Code 5
customfield_12816                   Old Actual End Date
customfield_11298                   Old APM Ticket Key
customfield_10783                   On-Site
customfield_10429                   Onboarding/Offboarding SLA
customfield_10204                   Open forms
customfield_12387                   Opening Account Payable
customfield_11727                   Opening Account Receivable
customfield_10571                   Operational categorization
customfield_10441                   Operational categorization
customfield_10814                   Operational Status
customfield_10414                   OPP ICP
customfield_11075                   Opportunity Category
customfield_11235                   Opportunity Created
customfield_10871                   Opportunity Type
customfield_11139                   Opportunity Type Child
customfield_10955                   Opportunity value
customfield_12192                   ORC Amount
customfield_13570                   Order Amount
customfield_10717                   Organization
customfield_10002                   Organizations
customfield_10410                   Orientation
customfield_11379                   Original Commitment Date from Sales Owner
customfield_11411                   Original Commitment Date from Sales Owner Cycle Month
customfield_11412                   Original Commitment Date from Sales Owner Cycle No
timeoriginalestimate                Original estimate
customfield_11232                   Osql Created
customfield_13553                   Other Contacts
customfield_12191                   Other Costs
customfield_11040                   Other Plugins If Not Listed Above
customfield_13312                   Other Point of Contact
customfield_11061                   Other Product Name
customfield_14037                   Other Reason for Invoice Delay
customfield_13939                   Other Reason for Invoice Delay.
customfield_12190                   Other Revenue
customfield_10627                   Outcome
customfield_13245                   Over Collection
customfield_10227                   Overall Business Value
customfield_10514                   Overall Customer Satisfaction Rating
customfield_10416                   Overall Expected Cost(USD)
customfield_10313                   Overall Manager's Feedback
customfield_10309                   Overall Manager's Ranking
customfield_10610                   Overall Manager's Rating
customfield_10528                   Overall Ranking
customfield_10288                   Overall Self Feedback
customfield_10292                   Overall Self Ranking
customfield_11002                   Overall Years Of Experience
customfield_10418                   Owner
customfield_13311                   Ownership
customfield_10407                   Pain sheet
customfield_10682                   Pan Card Number
customfield_13557                   Pan No
parent                              Parent
customfield_12486                   Parent Key Value
customfield_10018                   Parent Link
customfield_14934                   Parent Page ID
customfield_10253                   Parked For Future
customfield_10858                   Party Name
customfield_10683                   Passport Number
customfield_10788                   Payment advice send to Vendor
customfield_10504                   Payment Check
customfield_10516                   Payment Details
customfield_11388                   Payment Mode
customfield_10474                   Payment terms
customfield_10880                   Payment Terms
customfield_12552                   Payment Terms after Contract Review
customfield_14570                   Payment Terms Days
customfield_12575                   PBT status
customfield_10286                   PDP
customfield_10304                   PDP Feedback
customfield_10570                   Pending reason
customfield_10442                   Pending reason
customfield_10501                   Per Hour Rate( In $ )
customfield_10895                   Percentage
customfield_12574                   Period
customfield_10663                   Permanent Address
customfield_10686                   Personal Email Id
customfield_13117                   Perspective
customfield_10684                   PF Number
customfield_10546                   PfM Panel Approval
customfield_10457                   Phase Link
customfield_10492                   Phone
customfield_11662                   Phone Number (WhatsApp)
customfield_10675                   Place of Birth
customfield_12156                   Plan
customfield_10907                   Plan Date
customfield_12761                   Plan Due
customfield_10767                   Plan to Resolve Escalation
customfield_12323                   Planned Amount ($)
customfield_10949                   Planned Cost of Resource
customfield_14104                   Planned Delivery Date
customfield_10580                   Planned end
customfield_12457                   Planned Hours
customfield_10367                   Planned Network Reach
customfield_10952                   Planned Project Cost
customfield_10579                   Planned start
customfield_11596                   Planned UAT Implementation Date
customfield_10852                   Platform
customfield_11044                   Platform
customfield_11037                   Plugin Experience
customfield_12684                   PO Amount
customfield_12566                   PO Number
customfield_10503                   Portfolio Relevance Rating
customfield_10984                   Position
customfield_10711                   Post-Graduate or not
customfield_10700                   Post-Graduation University & Years
customfield_13549                   Postal Code
customfield_10527                   Potential / Behaviour Ranking
customfield_11042                   PPM  Support Experience
customfield_11049                   PPM Implementation Experience
customfield_10712                   Practice
customfield_10647                   Practice/CoE
customfield_10339                   Pre-requisite
customfield_10366                   Pre-Sales Owner
customfield_13779                   Presales Approval Start Date
customfield_10785                   Presales Registration Date
customfield_13641                   Presales Ticket Type
customfield_10662                   Present Address
customfield_10990                   Presenters
customfield_10226                   Price per unit
customfield_10605                   Pricing Type
customfield_10415                   Primary Content
customfield_10351                   Primary Emphasis
customfield_10603                   Primary Implementor
customfield_10421                   Primary Media
customfield_10891                   Primary OC
customfield_10741                   Primary Offering Code
customfield_13050                   Primary Product Focus
customfield_12752                   Primary Region
customfield_10936                   Primary Resource Code
customfield_10289                   Primary Reviewer
priority                            Priority
customfield_12784                   probability
customfield_11308                   Probability (%)
customfield_11504                   Problem Description
customfield_13130                   Problem Framing Actual End Date
customfield_13129                   Problem Framing Actual Start Date
customfield_13131                   Problem Framing Approved by
customfield_13128                   Problem Framing End Date
customfield_13127                   Problem Framing Start Date
customfield_10235                   Problem Observed
customfield_13808                   Problem Statement
customfield_10323                   Process Satisfaction
customfield_10976                   Product
customfield_12751                   Product / GTM Mapping
customfield_10392                   Product /& Service
customfield_10850                   Product Area
customfield_10439                   Product categorization
customfield_10569                   Product categorization
customfield_11059                   Product Group
customfield_12896                   product mapping
customfield_11058                   Product Maturity Phase
customfield_11060                   Product Name
customfield_10335                   Product Owner
customfield_11331                   Product Sales Owner
customfield_13832                   Production Actual End Date
customfield_13833                   Production End Date
customfield_11573                   Production release date
customfield_10617                   Products and Services
customfield_10792                   Products and Tools
customfield_10479                   Profitability
customfield_12560                   Proforma Conversion Rate
customfield_12561                   Proforma Currency Type
customfield_11468                   Proforma Invoice date
customfield_11467                   Proforma Invoice No.
customfield_11469                   Program Increment
customfield_10461                   Progress
progress                            Progress
customfield_16350                   Project
project                             Project
customfield_10747                   Project Category
customfield_13707                   Project Effort (in Hrs)
customfield_10801                   Project End
customfield_13823                   Project End date
customfield_10782                   Project Hours
customfield_10634                   Project Manager
customfield_10342                   Project Name
customfield_10635                   Project overview key
customfield_10636                   Project overview status
customfield_10489                   Project Priority
customfield_10842                   Project start
customfield_10800                   Project Start
customfield_13822                   Project Start date
customfield_10843                   Project target
customfield_10507                   Project Type
customfield_10820                   Project/Engagement Duration ( in Months)
customfield_12954                   Promotional POC
customfield_10518                   Proposal Link
customfield_10775                   Proposal Priority
customfield_10912                   Proposal Sent to Customer
customfield_10911                   Proposal Sent to Sales
customfield_10977                   Proposal URL
customfield_15068                   Proposal Validity date
customfield_12029                   PSD Number
customfield_11233                   PSQL Created
customfield_11403                   Purchase Conversion Rate 1
customfield_11892                   Purchase Conversion Rate 2
customfield_11893                   Purchase Conversion Rate 3
customfield_11402                   Purchase Currency Type
customfield_11694                   Purchase Transaction Amount ($)
customfield_11430                   Purchase Transaction Amount ($)1
customfield_11431                   Purchase Transaction Amount ($)2
customfield_11432                   Purchase Transaction Amount ($)3
customfield_11799                   Purchase Transaction Date
customfield_11435                   Purchase Transaction Date Cycle Month
customfield_11436                   Purchase Transaction Date Cycle No
customfield_11387                   Purchase Transaction Date1
customfield_11428                   Purchase Transaction Date2
customfield_11429                   Purchase Transaction Date3
customfield_10480                   Purchase type
customfield_11419                   Purchasing Entity
customfield_10380                   Purpose
customfield_15167                   PVR Amount ($)
customfield_15233                   PVR Validation
customfield_10927                   Q1 Review Date
customfield_10928                   Q2 Review Date
customfield_10929                   Q3 Review Date
customfield_10930                   Q4 Review Date
customfield_12948                   Quarter
customfield_10762                   Quarter
customfield_13827                   Question
customfield_10483                   Quote expiry date
customfield_10478                   Quote no.
customfield_10944                   Quoted Value
customfield_12890                   R1 Allocated Days 
customfield_12891                   R2 Allocated Days
customfield_12892                   R3 Allocated Days
customfield_13712                   R4 Allocated Days
customfield_13713                   R5 Allocated Days
customfield_10589                   RAG
customfield_13642                   Raise an EPS
customfield_10019                   Rank
customfield_10379                   Rate theCampaign
customfield_10529                   RCA
customfield_11409                   RCM (%)
customfield_11407                   RCM GST Payable
customfield_12893                   RCM Liability Due Date
customfield_12894                   RCM Liability Due Date Cycle Month
customfield_12895                   RCM Liability Due Date Cycle No
customfield_11408                   RCM Value
customfield_10543                   Re-elaborate
customfield_10265                   Reason
customfield_10862                   Reason for Cancellation
customfield_11065                   Reason For Change
customfield_13938                   Reason for Invoice Delay
customfield_13344                   Reason for loss
customfield_10879                   Reason for Lost
customfield_10770                   Reason for Resignation
customfield_10473                   Reason of Rejection
customfield_15001                   Reason to put On-Hold
customfield_10240                   Reasoning
customfield_12027                   Rebate Amount ($)
customfield_14797                   Rebate Validated
customfield_10886                   Received
customfield_14070                   Reconciliation
customfield_14071                   Reconciliation Reason
customfield_10732                   Recruitment ID
customfield_10491                   Referrers
customfield_10719                   Region
customfield_10232                   REGION
customfield_10646                   Region - 
customfield_10789                   Region and Sub-Region
customfield_11085                   Region code
customfield_11133                   Region Parent
customfield_10477                   Reimbursement mentioned in PO
customfield_10899                   Related projects
customfield_13826                   Related Sales Opportunity/Deal
customfield_11991                   Release proposal date
customfield_14968                   Release Reviewer
customfield_14901                   Release Reviewer Group
customfield_10261                   Relevance to Access Anywhere
customfield_10254                   Relevance to Agile Dev teams
customfield_10270                   Relevance to Disconnect Systems
customfield_10256                   Relevance to Integrate Systems
customfield_10257                   Relevance to Software Release Mngt
customfield_10679                   Relevant Experience
timeestimate                        Remaining Estimate
customfield_10908                   Remark
customfield_10771                   Remarks/Comments
customfield_10499                   Renewal date
reporter                            Reporter
customfield_10639                   Reporting Manager
customfield_10642                   Reporting Manager Email
customfield_14935                   Reports To
customfield_10975                   Request By
customfield_10547                   Request language
customfield_10208                   Request participants
customfield_10010                   Request Type
customfield_10336                   Request Type (migrated)
customfield_11499                   Requested By
customfield_10703                   Residence Phone Number
resolution                          Resolution
resolutiondate                      Resolved
customfield_12887                   Resource 1
customfield_12888                   Resource 2
customfield_12889                   Resource 3
customfield_13150                   Resource approval Actual End Date
customfield_13149                   Resource approval Actual Start Date
customfield_13151                   Resource Approval Approved By
customfield_13148                   Resource approval End Date
customfield_13147                   Resource approval Start Date
customfield_10885                   Resource Code
customfield_10813                   Resources Reserved
customfield_10548                   Responders
customfield_12757                   Responsible Marketing
customfield_12756                   Responsible Sales
issuerestriction                    Restrict to
customfield_13476                   Revenue Achievement %
customfield_13477                   Revenue Shortfall (Absolute)
customfield_11077                   Revenue Stream
customfield_13810                   Review completion date
customfield_10278                   Reviewer
customfield_11382                   Revised Commitment date from Sales Owner
customfield_11413                   Revised Commitment date from Sales Owner Cycle Month
customfield_11414                   Revised Commitment date from Sales Owner Cycle No
customfield_10799                   Revised End
customfield_10798                   Revised Start
customfield_11169                   Revision
customfield_10594                   Risk
customfield_10763                   Risk Description
customfield_10764                   Risk Mitigation
customfield_10795                   Risk Mitigation Identified
customfield_10779                   Risk Priority
customfield_10865                   Risk RAG
customfield_10803                   Risk Raised
customfield_10765                   Risk Status
customfield_10241                   Risk to Adoption
customfield_10833                   Roadmap
customfield_10853                   Role
customfield_10599                   Rollout
customfield_10582                   Root cause
customfield_10447                   Root cause
customfield_10766                   Runtime Escalation Description
customfield_10434                   Salary SLA
customfield_12553                   Sales Conversion Date
customfield_10972                   Sales Currency Type
customfield_10496                   Sales Engagement Rating
customfield_12563                   Sales Invoice Conversion Rate
customfield_11377                   Sales Invoice Creation Date
customfield_11405                   Sales Invoice Creation Date Cycle Month
customfield_11406                   Sales Invoice Creation Date Cycle No
customfield_12562                   Sales Invoice Currency Type
customfield_11378                   Sales Invoice Due Date
customfield_11400                   Sales Invoice Due Date Cycle Month
customfield_11401                   Sales Invoice Due Date Cycle No
customfield_11992                   Sales Invoice Exchange Rate
customfield_11416                   Sales Invoice Number
customfield_13280                   Sales lead
customfield_11371                   Sales proposal value
customfield_11333                   Sales Remark
customfield_10864                   Sales SLA
customfield_10893                   Sales SLA for MSA
customfield_10590                   Sales SPOC
customfield_11094                   Salesforce Link
customfield_10231                   Salesforce prospect link
customfield_12057                   SalesWarmMQL date
customfield_10209                   Satisfaction
customfield_10210                   Satisfaction date
customfield_10980                   Schedule
customfield_10867                   Schedule Variance RAG
customfield_10989                   Scheduled date
customfield_14174                   Scheduling mode
customfield_10510                   Scope
customfield_10593                   Scope of Work
customfield_10333                   Scrum Master
customfield_10742                   Secondary Offering Code
customfield_13315                   Secondary Product Focus
customfield_12753                   Secondary Region
customfield_10295                   Secondary Reviewer
security                            Security Level
customfield_10750                   Segment
customfield_11303                   Segment BU
customfield_11384                   Segment BU
customfield_11305                   Segment BU Parent
customfield_11091                   Segment BU(Select List)
customfield_11385                   Segment Owner
customfield_10498                   Select a Project
customfield_10931                   Self Assessment Date
customfield_10317                   Self Ranking Q1
customfield_10307                   Self Ranking Q2
customfield_10285                   Self Ranking Q3
customfield_10316                   Self Ranking Q4
customfield_10945                   Self Value Rating
customfield_10729                   Self-Transition Value
customfield_10537                   Send Review Request To
customfield_10954                   Sentiment
customfield_11563                   Sequence number
customfield_10432                   Service Invoice SLA
customfield_10609                   Service Sales Manager
customfield_10608                   Service Sales Owner
customfield_16313                   Service Type
customfield_10506                   Service type
customfield_13567                   Service Type Based Information
customfield_10383                   Services Amount ($)
customfield_10574                   Severity
customfield_10592                   Shadow Resource
customfield_10937                   Sign-off Requested Date
customfield_10974                   Signature Type
customfield_10874                   Signed By
customfield_10882                   Signed by Customer
customfield_10881                   Signed by Legal
customfield_14524                   Singapore - INR per USD
customfield_14523                   Singapore - SGD per USD
customfield_14525                   Singapore - USD per USD
customfield_11072                   Size
customfield_10877                   Sizing
customfield_10274                   Sizing Assumptions
customfield_13708                   Skills
customfield_10757                   Skills(Beginner)
customfield_10759                   Skills(Expert)
customfield_10758                   Skills(Proficient)
customfield_10769                   Soft Skills
customfield_10776                   Solution SPOC
customfield_11046                   Solutions / Specialization
customfield_10443                   Source
customfield_10575                   Source
customfield_10373                   Source of this Lead
customfield_10472                   SOW Link
customfield_10840                   Spec ready
customfield_13812                   Special Requirements/Additional Information
customfield_10854                   Specialization
customfield_10793                   Specialization Area
customfield_12130                   SPM Priority Score [ Strategic Alignment Model]
customfield_11571                   SPM Priority Score [ Strategic Alignment Model]
customfield_11570                   SPM Priority Score [Balanced Scorecard]
customfield_12129                   SPM Priority Score [Balanced Scorecard]
customfield_11564                   SPM Priority Score [ICE]
customfield_12123                   SPM Priority Score [ICE]
customfield_11569                   SPM Priority Score [Important vs Urgent (Eisenhower Matrix)]
customfield_12128                   SPM Priority Score [Important vs Urgent (Eisenhower Matrix)]
customfield_11568                   SPM Priority Score [Quick Wins]
customfield_12127                   SPM Priority Score [Quick Wins]
customfield_11565                   SPM Priority Score [RICE]
customfield_12124                   SPM Priority Score [RICE]
customfield_11567                   SPM Priority Score [Value vs Effort]
customfield_12126                   SPM Priority Score [Value vs Effort]
customfield_11566                   SPM Priority Score [WSJF]
customfield_12125                   SPM Priority Score [WSJF]
customfield_14868                   SPOC Owner
customfield_10358                   Sponsorship Type
customfield_10661                   Spouse's Name:
customfield_10020                   Sprint
customfield_16301                   ST License Amount
customfield_14834                   Stage
customfield_10905                   Stakeholders
customfield_12762                   Start
customfield_10015                   Start date
customfield_10552                   State
status                              Status
customfield_12760                   Status
statusCategory                      Status Category
statuscategorychangedate            Status Category Changed
customfield_12766                   Status udapte on 3 sept 
customfield_12768                   Status udapte on 30th Nov 
customfield_12767                   Status udapte on 31 oct 
customfield_12769                   Status udapte on 31st Dec 
customfield_12765                   Status Update 31 Aug 
customfield_10016                   Story point estimate
customfield_10219                   Story Points
customfield_12750                   Strategic Pillar
customfield_13825                   Strategic Play
customfield_13081                   Strategic Workflow Status
customfield_13550                   Street
customfield_12850                   Sub System
subtasks                            Sub-tasks
customfield_11136                   Sub-Vertical (Org ICP)
customfield_10714                   Subdivision
customfield_10205                   Submitted forms
customfield_10228                   Subscribe
customfield_11498                   Suggested Solution
summary                             Summary
customfield_11043                   Support on PPM Products
customfield_13566                   Swift code
customfield_12849                   System
customfield_10533                   T-Shirt Size
customfield_10400                   Tags
customfield_11761                   TAN Number
customfield_10393                   Target Audience
customfield_12764                   Target Completion
customfield_10201                   Target end
customfield_13052                   Target ICP 
customfield_10426                   Target Lifecycle Stage
customfield_10420                   Target Medium
customfield_10350                   Target Persona - Primary
customfield_10362                   Target Persona - Secondary
customfield_10419                   Target Segment
customfield_10200                   Target start
customfield_10273                   Target Users
customfield_13051                   Target Vertical
customfield_13199                   Targeted & Operationalized Approved By
customfield_13198                   Targeted and Operationalized Actual End Date
customfield_13197                   Targeted and Operationalized Actual Start Date
customfield_13196                   Targeted and Operationalized End Date
customfield_13195                   Targeted and Operationalized Start Date
customfield_10436                   Task SLA
customfield_10435                   Tax Payment SLA
customfield_16310                   TDS Amount
customfield_12770                   TDS Calculated
customfield_11399                   TDS Deducted
customfield_11396                   TDS Deductible
customfield_12090                   TDS Percentage
customfield_10001                   Team
customfield_11661                   Team
customfield_10837                   Teams
customfield_10602                   Tech Lead
customfield_10411                   Technical contact
customfield_10497                   Technical Expertise Rating
customfield_10360                   Telemarketer
customfield_10948                   Tempo Logged Hours
customfield_10947                   Tempo Planned Hours
customfield_10214                   Tempo Team
customfield_10564                   test
customfield_10695                   Test Asset
customfield_10245                   Test Environment
customfield_10578                   Test plan
customfield_10281                   Tester
customfield_10440                   Ticket Summary
customfield_11090                   Time
timespent                           Time Spent
customfield_10438                   Time to approve normal change
customfield_10437                   Time to close after resolution
customfield_10633                   Time to done
customfield_10221                   Time to first response
customfield_10869                   Time to First Response - Legal
customfield_10894                   Time to First Response - Legal (MSA)
customfield_10220                   Time to resolution
customfield_10777                   Time to resolution Delivery
customfield_10584                   Time to review normal change
timetracking                        Time tracking
customfield_10468                   Time waiting for support
customfield_10255                   To Be Discussed
customfield_13809                   To Do Completion Date
customfield_12196                   Total Accrued Amount ($)
customfield_12454                   Total Accrued Hours
customfield_13055                   Total Activity Cost
customfield_11925                   Total Amount Invoiced During Period
customfield_12388                   Total Amount of Purchases During Period
customfield_12568                   Total Collection Amount
customfield_12571                   Total Collection Currency Rate
customfield_12570                   Total Collection Currency Type
customfield_12569                   Total Collection Date
customfield_11926                   Total Collection During Period
customfield_12572                   Total Collection Forex Mark Up
customfield_10390                   Total Cost (USD)
customfield_13062                   Total Cost Estimate of Marketing Activity 
customfield_12322                   Total Earned Amount ($)
customfield_12456                   Total Earned Hours
customfield_10249                   Total Estimated Cost
customfield_10206                   Total forms
customfield_12573                   Total Invoiced Amount (without tax)
customfield_10996                   Total No of servers with Not Updated
customfield_10995                   Total No of servers with Updated Antivirus
customfield_10998                   Total No of user with not Updated Antivirus
customfield_10997                   Total No of user with Updated Antivirus
customfield_12326                   Total Non Accruable Amount ($)
customfield_12460                   Total Non Accrued Hours
customfield_12583                   Total OEM Funding Amount ($)
customfield_12389                   Total OEM payments During Period
customfield_12324                   Total Planned Amount ($)
customfield_12458                   Total Planned Hours
customfield_10488                   Total Project Cost( In $ )
customfield_13709                   Total Resources
customfield_12882                   Total vendor amount
customfield_10678                   Total Working Experience
customfield_10982                   Trainee
customfield_10923                   Trainee Count
customfield_10981                   Trainer
customfield_10922                   Training Type
customfield_13179                   Transformation Pillar
customfield_12189                   Travel/Vendor
customfield_11078                   Tshirt size
customfield_10857                   Type
customfield_10344                   Type of Campaign
customfield_13568                   Type of Category
customfield_10349                   Type of Content
customfield_13542                   Type of Products or Services
customfield_10739                   Type of Work
customfield_10749                   Type of work (Read Only)
customfield_10701                   UAN Number
customfield_14209                   Under Forecasted
updated                             Updated
customfield_10572                   Urgency
customfield_10455                   Urgency
customfield_10861                   URL Field
customfield_14531                   USA - USD per USD
customfield_13813                   Use Case / Scenario to be Covered
customfield_10403                   Used by
customfield_13817                   User count or agent count
customfield_13160                   Validation Actual End date
customfield_13159                   Validation Actual Start Date
customfield_13161                   Validation Approved By
customfield_13158                   Validation End date
customfield_13157                   Validation Start Date
customfield_15067                   Validity(In days)
customfield_10845                   Value
customfield_10252                   Value to Customer
customfield_12618                   Variance in Days
customfield_13212                   Variance(Amount)
customfield_13015                   Varience (RCM)
customfield_13014                   Varience TDS
customfield_13063                   Varience(GST)
customfield_13543                   Vendor Document Checklist
customfield_13545                   Vendor Email	
customfield_10649                   Vendor Name
customfield_10433                   Vendor Payment SLA
customfield_13546                   Vendor Phone No.
customfield_13578                   Vendor Registration Date
customfield_10258                   Version
customfield_11073                   Vertical (Org ICP)
customfield_11135                   Vertical (Org ICP) Parent
customfield_10538                   Vote Appeal
votes                               Votes
customfield_10868                   Vulnerability
watches                             Watchers
customfield_10530                   What Is Feasibility of this Concept
customfield_10242                   What is your Idea?
customfield_10535                   What strategic objective does your idea align with?
customfield_11410                   Whether RCM Applicable?
customfield_12981                   WHT Amount in USD
customfield_15200                   Will this initiative be moved to under observation?
customfield_12420                   Withholding TAX (WHT)
customfield_10202                   Work category
customfield_16417                   Work item created forms
workratio                           Work Ratio
customfield_11047                   Work Type
customfield_10583                   Workaround
customfield_10449                   Workaround
customfield_10809                   Worked as Additional Implementors
customfield_10810                   Worked as Apprentice 
customfield_10807                   Worked as Primary Implementor 
customfield_10811                   Worked as Project Manager
customfield_10808                   Worked as Tech Lead
customfield_13905                   Workflow End Date
customfield_12851                   Workflow Status
customfield_10389                   Writing Style
customfield_10399                   Writing Tone
customfield_10772                   Year
customfield_10726                   Years in Service with enreap
customfield_11019                   Years Of Experience In Automation
aggregatetimeoriginalestimate       Σ Original Estimate
aggregateprogress                   Σ Progress
aggregatetimeestimate               Σ Remaining Estimate
aggregatetimespent                  Σ Time Spent
